===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.114.119
[+] Method:                  POST
[+] Threads:                 30
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/10 15:49:18 Starting gobuster in directory enumeration mode
===============================================================
/search               (Status: 501) [Size: 497]
/img                  (Status: 501) [Size: 497]
/default              (Status: 501) [Size: 497]
/12                   (Status: 501) [Size: 497]
/blog                 (Status: 501) [Size: 497]
/logo                 (Status: 501) [Size: 497]
/contact              (Status: 501) [Size: 497]
/about                (Status: 501) [Size: 497]
/new                  (Status: 501) [Size: 497]
/10                   (Status: 501) [Size: 497]
/11                   (Status: 501) [Size: 497]
/privacy              (Status: 501) [Size: 497]
/spacer               (Status: 501) [Size: 497]
/cgi-bin              (Status: 501) [Size: 497]
/rss                  (Status: 501) [Size: 497]
/download             (Status: 501) [Size: 497]
/index                (Status: 501) [Size: 497]
/faq                  (Status: 501) [Size: 497]
/home                 (Status: 501) [Size: 497]
/2005                 (Status: 501) [Size: 497]
/2006                 (Status: 501) [Size: 497]
/news                 (Status: 501) [Size: 497]
/sitemap              (Status: 501) [Size: 497]
/images               (Status: 501) [Size: 497]
/warez                (Status: 501) [Size: 497]
/serial               (Status: 501) [Size: 497]
/products             (Status: 501) [Size: 497]
/crack                (Status: 501) [Size: 497]
/archives             (Status: 501) [Size: 497]
/full                 (Status: 501) [Size: 497]
/09                   (Status: 501) [Size: 497]
/links                (Status: 501) [Size: 497]
/08                   (Status: 501) [Size: 497]
/2                    (Status: 501) [Size: 497]
/06                   (Status: 501) [Size: 497]
/1                    (Status: 501) [Size: 497]
/01                   (Status: 501) [Size: 497]
/07                   (Status: 501) [Size: 497]
/articles             (Status: 501) [Size: 497]
/login                (Status: 501) [Size: 497]
/support              (Status: 501) [Size: 497]
